course,tee,hole,par,yardage
Lassing Pointe,Blue,1,4,410
Lassing Pointe,Blue,2,5,520
Lassing Pointe,Blue,3,3,180
Lassing Pointe,Blue,4,4,430
Lassing Pointe,Blue,5,4,395
Lassing Pointe,Blue,6,5,540
Lassing Pointe,Blue,7,3,170
Lassing Pointe,Blue,8,4,415
Lassing Pointe,Blue,9,4,440

Lassing Pointe,White,1,4,380
Lassing Pointe,White,2,5,490
Lassing Pointe,White,3,3,160
Lassing Pointe,White,4,4,400
Lassing Pointe,White,5,4,365
Lassing Pointe,White,6,5,500
Lassing Pointe,White,7,3,150
Lassing Pointe,White,8,4,390
Lassing Pointe,White,9,4,405

Pebble Beach,Blue,1,4,380
Pebble Beach,Blue,2,5,510
Pebble Beach,Blue,3,4,390
Pebble Beach,Blue,4,4,330
Pebble Beach,Blue,5,3,195
Pebble Beach,Blue,6,5,525
Pebble Beach,Blue,7,3,110
Pebble Beach,Blue,8,4,430
Pebble Beach,Blue,9,4,460
